(1648819860, Decimal('516454'), Decimal('174.17999267578125'), Decimal('174.47000122070312'), Decimal('174.8000030517578'), Decimal('174.7281036376953'), datetime.datetime(2022, 4, 1, 9, 31), 'AAPL')
(1648819920, Decimal('356344'), Decimal('174.3800048828125'), Decimal('174.71009826660156'), Decimal('174.83200073242188'), Decimal('174.77000427246094'), datetime.datetime(2022, 4, 1, 9, 32), 'AAPL')
(1648819980, Decimal('366786'), Decimal('174.37350463867188'), Decimal('174.75999450683594'), Decimal('174.8800048828125'), Decimal('174.4600067138672'), datetime.datetime(2022, 4, 1, 9, 33), 'AAPL')
(1648820040, Decimal('302838'), Decimal('174.13999938964844'), Decimal('174.4600067138672'), Decimal('174.51939392089844'), Decimal('174.13999938964844'), datetime.datetime(2022, 4, 1, 9, 34), 'AAPL')
(1648820100, Decimal('409035'), Decimal('173.67999267578125'), Decimal('174.1219024658203'), Decimal('174.12770080566406'), Decimal('174.01739501953125'), datetime.datetime(2022, 4, 1, 9, 35), 'AAPL')
(1648820160, Decimal('290239'), Decimal('173.74290466308594'), Decimal('174.0'), Decimal('174.07200622558594'), Decimal('173.8800048828125'), datetime.datetime(2022, 4, 1, 9, 36), 'AAPL')
(1648820220, Decimal('327478'), Decimal('173.80999755859375'), Decimal('173.8699951171875'), Decimal('174.19000244140625'), Decimal('174.1699981689453'), datetime.datetime(2022, 4, 1, 9, 37), 'AAPL')
(1648820280, Decimal('286741'), Decimal('173.8800048828125'), Decimal('174.17999267578125'), Decimal('174.19000244140625'), Decimal('173.93600463867188'), datetime.datetime(2022, 4, 1, 9, 38), 'AAPL')
(1648820340, Decimal('299000'), Decimal('173.6699981689453'), Decimal('173.93499755859375'), Decimal('174.02999877929688'), Decimal('173.68499755859375'), datetime.datetime(2022, 4, 1, 9, 39), 'AAPL')
(1648820400, Decimal('349958'), Decimal('173.58999633789062'), Decimal('173.67999267578125'), Decimal('173.86000061035156'), Decimal('173.75'), datetime.datetime(2022, 4, 1, 9, 40), 'AAPL')
('USD', 'AAPL', 'EQUITY', '1980-12-12|08:30:00', 'America/New_York', 'EDT', '08:30:00|15:00:00', '1d', '1m', '2022-04-11|08:30:00')
